Creation Date,UID,SKU,Products,Type,Title,Collection,Category,Family,Price,Color,Size,Display,,Count,Online,Images
11/20/2012,PB-5750,PB-5750,PB-5750,accessories_gifts,COLORED/LEOPARD,Accessories,Belts,ACCSESORIES,17.95,,,1,9,4,y,
11/20/2012,PB-5707,PB-5707,PB-5707,accessories_gifts,SNAKE SKIN BELTS,Accessories,Belts,ACCSESORIES,15.95,,,1,6,2,y,
11/20/2012,PB-5727,PB-5727,PB-5727,accessories_gifts,TWO COLORED BRAIDED BELT W/TASSLE,Accessories,Belts,ACCSESORIES,17.95,,,1,3,3,y,
12/20/2012,Soap,Soap,Soap,accessories_gifts,French Soap,Gifts,Home Accessories,gifts,8.50,,,1,24,24,y,
1/22/2013,PS101,PS101,PS101,,BABY BLUE OR CORAL JEAN,Clothing,Bottoms,Pants,59.95,,,1,12,8,y,
1/22/2013,PS1006,PS1006,PS1006,,TRIBAL CREAM JEANS,Clothing,Bottoms,Pants,59.95,,,1,5,6,y,
1/29/2013,RW101,RW101,RW101,accessories_gifts,CABERNET,,,gifts,24.00,,,1,0,0,y,
1/29/2013,RW102,RW102,RW102,accessories_gifts,CHAMPAGNE,,,gifts,24.00,,,1,0,0,y,
1/29/2013,RW103,RW103,RW103,accessories_gifts,CHARDONANNAY,,,gifts,24.00,,,1,1,0,y,
1/29/2013,RW104,RW104,RW104,accessories_gifts,MERLOT,,,gifts,24.00,,,1,0,0,y,
1/29/2013,RW105,RW105,RW105,accessories_gifts,PINOT GRIGIO,,,gifts,24.00,,,1,0,0,y,
1/29/2013,RW106,RW106,RW106,accessories_gifts,PINOT NOIR,,,gifts,24.00,,,1,0,5,y,
1/29/2013,RW107,RW107,RW107,accessories_gifts,REISLING,,,gifts,24.00,,,1,-1,1,y,
1/29/2013,RW108,RW108,RW108,accessories_gifts,SAUVIGNON BLANC,,,gifts,24.00,,,1,3,2,y,
2/7/2013,B100BL,B100BL,B100BL,accessories_gifts,BLUE BAG,Accessories,Handbags,ACCSESORIES,125.00,,,1,1,1,y,
2/7/2013,B225 COF,B225 COF,B225 COF,accessories_gifts,COFFEE BAG,Accessories,,ACCSESORIES,205.00,,,1,1,1,y,
2/7/2013,B100TAN,B100TAN,B100TAN,accessories_gifts,TAN SAC,,,ACCSESORIES,125.00,,,1,1,1,y,
2/8/2013,SPLASH SHAW,SPLASH SHAW,SPLASH SHAW,accessories_gifts,MOROCCO SHAW,,,ACCSESORIES,59.99,,,1,5,5,y,
4/2/2013,S13-077-S,S13-077-S,S13-077-S,,RED KNITTED LONG PANTS,Clothing,Bottoms,Pants,49.99,,S,1,4,1,y,
4/5/2013,WHITE LINEN STRAP,WHITE LINEN STRAP,WHITE LINEN STRAP,accessories_gifts,SECRET STRAP,,,ACCSESORIES,24.00,,,1,2,2,y,
4/9/2013,31473-S,31473-S,31473-S,,TRIPLE SPAGHETTI STRAP TOP,Clothing,Tops,Tops,36.00,,S,1,2,1,y,
4/12/2013,538,538,538,accessories_gifts,Le Perdu Earring,,,ACCSESORIES,112.00,,,1,1,1,y,
4/12/2013,2142,2142,2142,accessories_gifts,Le perdu Necklace  Painting,Gifts,Home Accessories,ACCSESORIES,364.00,,,1,1,1,y,
4/25/2013,S10142L-S,S10142L-S,S10142L-S,,LONG BALLERINA SKIRT,Clothing,"Bottoms,Dresses",SKIRT,44.99,,S,1,4,1,y,
4/25/2013,D50361-S,D50361-S,D50361-S,,POLKA DOT DRESS,Clothing,Dresses,DRESS,64.99,,S,1,4,2,y,
4/25/2013,D50360A-S,D50360A-S,D50360A-S,,WHITE DRESS W/ BOW BELT,Clothing,Dresses,DRESS,64.99,,S,1,4,1,y,
4/30/2013,31506-S,31506-S,31506-S,,3/4 CHAMBRAY TOP,Clothing,Tops,Tops,44.99,BLUE,S,1,2,2,y,
4/30/2013,90923B-M,90923B-M,90923B-M,,SLEEVELESS OPEN BACK DRESS IN BLUE,Clothing,Dresses,DRESS,49.99,,M,1,1,1,y,
4/30/2013,90923P-S,90923P-S,90923P-S,,SLEEVELESS OPEN BACK DRESS IN PINK,Clothing,Dresses,DRESS,49.99,PINK,S,1,2,1,y,
5/17/2013,PSW109-10,PSW109-10,PSW109-10,accessories_gifts,BLACK PAREO,,,ACCSESORIES,18.00,,,1,2,2,y,
5/17/2013,D37,D37,D37,accessories_gifts,FLOPPY PAPER HAT,Accessories,Hats,ACCSESORIES,18.00,,,1,2,2,y,
5/17/2013,PSW109-08,PSW109-08,PSW109-08,accessories_gifts,IVORY PAREO,,,ACCSESORIES,18.00,,,1,2,2,y,
5/17/2013,D46-BLACK,D46-BLACK,D46-BLACK,accessories_gifts,KETTLE BRIM BLACK,Clothing,Hats,ACCSESORIES,18.00,,,1,2,1,y,
5/17/2013,K83 COWBOY,K83 COWBOY,K83 COWBOY,accessories_gifts,TEA STAINED,Clothing,Hats,ACCSESORIES,39.99,,,1,2,2,y,
5/17/2013,M77 ROLLER HAT,M77 ROLLER HAT,M77 ROLLER HAT,accessories_gifts,WIDE BRIM,Clothing,Hats,ACCSESORIES,24.00,,,1,2,2,y,
5/21/2013,T61399-S,T61399-S,T61399-S,,SPAGHETTI STRAP POLKA DOT TOP IN NAVY,Clothing,Tops,Tops,39.99,NAVY,S,1,4,1,y,
6/5/2013,S10154-L,S10154-L,S10154-L,,FLORAL SKIRT,Clothing,"Bottoms,Dresses",SKIRT,39.99,,L,1,2,2,y,
6/5/2013,S10151-S,S10151-S,S10151-S,,NAVY SKIRT,Clothing,"Bottoms,Dresses",SKIRT,39.99,NAVY,S,1,3,1,y,
6/6/2013,M7923-S,M7923-S,M7923-S,,BLACK SLEEVELESS DRESS W/BEADS,Clothing,Dresses,DRESS,44.99,,S,1,4,1,y,
6/6/2013,M7996B-M,M7996B-M,M7996B-M,,BLACK SLEEVELESS TANK DRESS,Clothing,Dresses,DRESS,15.99,,M,1,3,1,y,
6/7/2013,D54399-S,D54399-S,D54399-S,,BLACK PLEATED MAXI DRESS,Clothing,Dresses,DRESS,79.99,BLK,S,1,3,1,y,
6/7/2013,ID11766-M,ID11766-M,ID11766-M,,MAXI DRESS W/ HOT PINK STITCHING,Clothing,Dresses,DRESS,59.99,CREAM,M,1,4,1,y,
6/7/2013,D4030-S,D4030-S,D4030-S,,PINK BOW DRESS,Clothing,Dresses,DRESS,54.99,,S,1,1,1,y,
6/12/2013,51187D-J-S,51187D-J-S,51187D-J-S,,BELT MAXI DRESS,Clothing,Dresses,DRESS,59.99,PEACH,S,1,6,2,y,
6/12/2013,51003D-K-S,51003D-K-S,51003D-K-S,,BIKINI DRESS,Clothing,Dresses,DRESS,69.99,White,S,1,2,1,y,
6/12/2013,51222D-K-S,51222D-K-S,51222D-K-S,,BIRD PRINT DRESS,Clothing,Dresses,DRESS,64.99,White,S,1,4,2,y,
6/12/2013,TT1073BP-S,TT1073BP-S,TT1073BP-S,,CORAL TOP,Clothing,Tops,Tops,34.99,,S,1,3,1,y,
6/12/2013,51217D-K-S,51217D-K-S,51217D-K-S,,FUSIA DRESS,Clothing,Dresses,DRESS,64.99,PINK,S,1,5,3,y,
6/12/2013,51214DA-K-S,51214DA-K-S,51214DA-K-S,,MAXI POCKET DRESS,Clothing,Dresses,DRESS,69.99,,S,1,2,2,y,
6/12/2013,S10156-S,S10156-S,S10156-S,,NAVY SKIRT,Clothing,"Bottoms,Dresses",SKIRT,34.99,NAVY,S,1,3,2,y,
6/12/2013,DJ16336B-S,DJ16336B-S,DJ16336B-S,,OFF WHITE DRESS,Clothing,Dresses,DRESS,89.99,White,S,1,5,1,y,
6/12/2013,8152P-RUST-S,8152P-RUST-S,8152P-RUST-S,,RUST LINEN SHORTS,Clothing,Bottoms,SHORTS,39.99,,S,1,3,2,y,
6/21/2013,AD3296-S,AD3296-S,AD3296-S,,ASYMMETRIC GREY DRESS,Clothing,Dresses,DRESS,65.00,GREY,S,1,3,2,y,
6/21/2013,AJ4137-S13-S,AJ4137-S13-S,AJ4137-S13-S,,CROCHET CARDIGAN,Clothing,Tops,Tops,52.00,Orange,S,1,3,1,y,
6/21/2013,AD3119-F11-S,AD3119-F11-S,AD3119-F11-S,,GREY & NAVY STRIP DRESS,Clothing,Dresses,DRESS,75.00,GREY,S,1,3,1,y,
6/25/2013,11,11,11,accessories_gifts,MED SIGN CAT,Gifts,Home Accessories,gifts,18.00,,,1,1,1,y,
6/25/2013,102,102,102,accessories_gifts,SMALL SIGN COCO CHANEL,Gifts,Home Accessories,gifts,16.00,,,1,1,1,y,
6/25/2013,104,104,104,accessories_gifts,SMALL SIGN COME THOU FOUNT,Gifts,Home Accessories,gifts,16.00,,,1,1,1,y,
6/25/2013,105,105,105,accessories_gifts,SMALL SIGN LOVE WHO YOU ARE,Gifts,Home Accessories,gifts,16.00,,,1,1,1,y,
6/25/2013,106,106,106,accessories_gifts,SMALL SIGN OUT OF DIFFICULTIES,Gifts,Home Accessories,gifts,16.00,,,1,1,1,y,
7/2/2013,3598,3598,3598,jewelry,BRACELET CLEAR/GOLD,Accessories,Jewelry,ACCSESORIES,81.00,,ONE SIZE,1,0,0,y,
7/2/2013,3500S,3500S,3500S,jewelry,BRACELET CLEAR/S/G,Accessories,Jewelry,ACCSESORIES,94.00,,ONE SIZE,1,1,1,y,
7/2/2013,3014,3014,3014,jewelry,BRACELET IVORY/GOLD,Accessories,Jewelry,ACCSESORIES,81.00,,ONE SIZE,1,1,1,y,
7/2/2013,3500R,3500R,3500R,jewelry,BRACELET ROSE GOLD,Accessories,Jewelry,ACCSESORIES,94.00,,ONE SIZE,1,0,0,y,
7/2/2013,3014T,3014T,3014T,jewelry,BRACELET TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,81.00,,ONE SIZE,1,0,0,y,
7/2/2013,3500T,3500T,3500T,jewelry,BRACELET TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,94.00,,ONE SIZE,1,0,0,y,
7/2/2013,3598T,3598T,3598T,jewelry,BRACELET TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,81.00,,ONE SIZE,1,0,0,y,
7/2/2013,2421,2421,2421,jewelry,EARRINGS TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,63.00,,ONE SIZE,1,0,0,y,
7/2/2013,7687,7687,7687,jewelry,NECKLACE CROSS TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,108.00,,ONE SIZE,1,1,1,y,
7/2/2013,7196,7196,7196,jewelry,NECKLACE TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,130.00,,ONE SIZE,1,1,1,y,
7/2/2013,1277,1277,1277,jewelry,NECKLACE TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,94.00,,ONE SIZE,1,1,1,y,
7/2/2013,7899,7899,7899,jewelry,NECKLACE TURQ/GOLD,Accessories,Jewelry,ACCSESORIES,99.00,,ONE SIZE,1,0,0,y,
7/2/2013,T61400-S,T61400-S,T61400-S,,PINK TOP W/COLLAR,Clothing,Tops,Tops,40.00,PINK,S,1,5,1,y,
7/2/2013,9316,9316,9316,jewelry,RING CLEAR/GOLD,Accessories,Jewelry,ACCSESORIES,54.00,,ONE SIZE,1,1,0,y,
7/2/2013,9315G,9315G,9315G,jewelry,RING CLEAR/GOLD,Accessories,Jewelry,ACCSESORIES,54.00,,ONE SIZE,1,-1,0,y,
7/2/2013,9315,9315,9315,jewelry,RING CLEAR/SILVER,Accessories,Jewelry,ACCSESORIES,54.00,,ONE SIZE,1,0,0,y,
7/3/2013,DJ15892T-S,DJ15892T-S,DJ15892T-S,,DRESS GREEN W/FLOWERS,Clothing,Dresses,DRESS,54.00,GREEN,S,1,4,2,y,
